Country,Other_names,ISO_3166-1_alpha-3_CODE,Population,Continent,Total_Cases,Total_Deaths,Tot Cases_1M_pop,Tot Deaths/1M_pop,Death_percentage,Cases_Per_100K,Deaths_Per_100K,Recovery_Rate,Case_Fatality_Rate,Cluster
Djibouti,Djibouti,DJI,1013146,Africa,15590,189,15388,187,1.212315587,1538.7713123281344,18.65476446632568,98.787684413,1.2123155869146889,0
Dominica,Dominica,DMA,72299,Latin America and the Caribbean,11891,63,164470,871,0.529812463,16446.97713661323,87.13813469065961,99.470187537,0.5298124632074679,0
Dominican Republic,Dominican Republic,DOM,11038333,Latin America and the Caribbean,578130,4375,52375,396,0.756750212,5237.475622451325,39.63460787059061,99.243249788,0.7567502118900593,0
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,94323344,Africa,86748,1337,920,14,1.541245908,91.96874953882042,1.4174645886176385,98.458754092,1.5412459076866325,0
Ecuador,Ecuador,ECU,18111933,Latin America and the Caribbean,859890,35421,47476,1956,4.119247811,4747.643445898349,195.5671987081666,95.880752189,4.119247810766494,2
Egypt,Egypt,EGY,105711844,Africa,505264,24417,4780,231,4.832523196,477.96347209684467,23.09769565650562,95.167476804,4.832523195794674,0
El Salvador,El Salvador,SLV,6543499,Latin America and the Caribbean,161570,4120,24692,630,2.549978338,2469.1682538654013,62.96325559154208,97.450021662,2.549978337562666,0
Equatorial Guinea,Equatorial Guinea,GNQ,1483588,Africa,15903,183,10719,123,1.150726278,1071.9283251145196,12.334960919069177,98.849273722,1.1507262780607432,0
Eritrea,Eritrea,ERI,3632329,Africa,9728,103,2678,28,1.058799342,267.81714982315754,2.835646220372659,98.941200658,1.0587993421052633,0
Estonia,Estonia,EST,1328097,Europe,558706,2468,420682,1858,0.441735009,42068.16218996052,185.82980008237348,99.558264991,0.4417350091103371,1
Eswatini,Eswatini,SWZ,1181191,Africa,69851,1394,59136,1180,1.995676511,5913.607536799722,118.01647659015349,98.004323489,1.9956765114314756,0
Ethiopia,Ethiopia,ETH,119945147,Africa,469819,7504,3917,63,1.597210841,391.6948803272549,6.256193091330323,98.402789159,1.5972108407705947,0
Faeroe Islands,Faeroe Islands,FRO,49188,Europe,34237,28,696044,569,0.081782866,69604.3750508254,56.92445311864683,99.918217134,0.08178286648947046,1
Falkland Islands,Falkland Islands (Malvinas),FLK,3657,Latin America and the Caribbean,123,0,33634,0,0.0,3363.4126333059885,0.0,100.0,0.0,0
Fiji,Fiji,FJI,907817,Oceania,64422,834,70964,919,1.294588805,7096.364135062463,91.86873565927934,98.705411195,1.2945888050665921,0
Finland,Finland,FIN,5555788,Europe,889626,3178,160126,572,0.357228768,16012.598032898304,57.20160668477631,99.642771232,0.3572287680440994,0
France,France,FRA,65526369,Europe,25997852,142506,396754,2175,0.548145285,39675.404568808015,217.47885954126346,99.451854715,0.5481452852335646,1
French Guiana,French Guiana,GUF,312224,Latin America and the Caribbean,79075,394,253264,1262,0.498261144,25326.36824843702,126.19145229066312,99.501738856,0.49826114448308567,1
French Polynesia,French Polynesia,PYF,283751,Oceania,72318,646,254864,2277,0.893276916,25486.43000377091,227.6643958964021,99.106723084,0.8932769158439116,1
Gabon,Gabon,GAB,2317612,Africa,47586,303,20532,131,0.636741899,2053.234104759554,13.073801827053018,99.363258101,0.6367418988778212,0
Gambia,Gambia,GMB,2535418,Africa,11988,365,4728,144,3.044711378,472.8214440380245,14.396048304461038,96.955288622,3.0447113780447115,0
Georgia,Georgia,GEO,3975762,Asia,1649222,16756,414819,4215,1.015994208,41481.90963141154,421.45379929683924,98.984005792,1.0159942081781592,2
Germany,Germany,DEU,84252947,Europe,21646375,130563,256921,1550,0.603163347,25692.128015415296,154.9654993076978,99.396836653,0.6031633472117156,1
Ghana,Ghana,GHA,32207812,Africa,160971,1445,4998,45,0.897677221,499.78868480727596,4.486489178463907,99.102322779,0.8976772213628541,0
